rebalance_date,US Equity,US Bonds,REITs,Gold,Bitcoin,JPY
2003-12-31,0.2,0.3,0.09387681710182369,0.10612318289817638,0.0,0.3
2004-12-31,0.3,0.29999999999999993,0.024647654403906077,0.07535234559609391,0.0,0.3
2005-12-30,0.28421214210805446,0.3,0.0,0.11578785789194562,0.0,0.3
2006-12-29,0.2999999999999997,0.3,0.06690153597225217,0.03309846402774816,0.0,0.3
2007-12-31,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-01-31,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-02-29,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-03-31,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-04-30,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-05-30,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-06-30,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-07-31,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-08-29,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-09-30,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-10-31,0.2910211459361381,0.3,0.0,0.10897885406386194,0.0,0.3
2008-11-28,0.26666666666666666,0.39999999999999997,0.0,0.12671273584168177,0.0,0.2066205974916516
2008-12-31,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
2009-01-30,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
2009-02-27,0.26666666666666666,0.39999999999999997,0.0,0.14829520907835966,0.0,0.18503812425497368
2009-03-31,0.26666666666666666,0.39999999999999997,0.0,0.14829520907835966,0.0,0.18503812425497368
2009-04-30,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
2009-05-29,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
2009-06-30,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
2009-07-31,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
2009-08-31,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
2009-09-30,0.2,0.3,0.034570829510762034,0.1654291704892381,0.0,0.29999999999999993
